requestor_client_id,total_orders_completed,total_spent
48,8,1904
197,1,1710
16,1,1332
17,1,1190
10,1,1115
14,5,906
213,2,843
82,3,765
12,3,719
100,2,640
38,2,640
140,1,615
20,1,594
125,5,593
234,1,592
39,1,586
7,2,585
160,4,567
76,3,558
96,1,558
93,2,552
133,2,524
28,2,522
63,2,516
118,1,502
142,1,502
85,2,499
44,1,483
120,3,475
212,1,474
37,2,459
177,1,456
49,3,447
74,1,438
232,2,426
75,1,403
78,2,398
235,1,390
9,1,381
203,1,378
106,1,375
189,2,370
62,1,362
72,1,346
216,1,345
195,2,340
239,2,334
26,2,334
206,1,334
215,1,334
108,1,320
161,2,312
56,1,306
230,1,299
199,4,293
220,1,292
60,2,287
188,2,284
83,1,278
228,1,264
87,1,261
65,1,260
122,1,257
129,1,257
151,1,257
194,1,257
144,1,250
98,1,246
117,1,242
61,1,238
95,1,235
152,1,232
184,1,231
32,1,221
80,1,221
128,1,221
157,1,221
172,1,221
182,1,221
52,1,214
146,1,214
180,1,214
202,1,214
40,1,206
81,1,206
135,1,206
162,1,206
34,1,199
169,1,199
190,1,199
170,2,196
36,1,195
13,1,192
30,1,192
69,1,192
79,1,192
109,1,192
149,1,192
171,1,192
174,1,192
186,1,192
227,1,192
200,2,190
173,1,188
43,1,185
110,1,185
130,1,185
131,1,185
191,1,185
241,1,185
143,1,182
59,1,178
66,1,178
67,1,178
104,1,178
116,1,178
167,1,178
29,1,170
31,1,170
181,1,170
226,1,170
237,1,170
54,1,167
105,1,167
2,1,163
25,1,163
175,1,163
209,1,163
225,1,163
24,1,160
201,1,160
91,1,159
18,1,156
45,1,156
51,1,156
88,1,156
113,1,156
114,1,156
208,1,156
3,1,149
27,1,149
46,1,149
50,1,149
99,1,149
193,1,149
204,1,149
205,1,149
218,1,149
231,1,148
236,1,148
33,1,145
163,1,145
35,1,142
64,1,142
124,1,142
132,1,142
214,1,142
222,1,142
92,1,134
107,1,134
134,1,134
150,1,134
221,1,131
223,1,131
5,1,127
19,1,127
73,1,127
89,1,127
97,1,127
102,1,127
115,1,127
141,1,127
192,2,124
41,1,120
86,1,120
119,1,120
126,1,120
154,1,120
185,1,120
196,1,120
198,1,120
219,1,120
233,1,120
6,1,117
210,1,114
58,1,113
68,1,113
145,1,113
168,1,113
207,1,113
70,1,106
111,1,106
112,1,106
147,1,106
156,1,106
224,1,106
8,1,98
123,1,98
139,1,98
217,1,98
22,1,91
23,1,91
57,1,91
121,1,91
166,1,91
229,1,91
127,1,87
165,1,85
1,1,84
53,1,84
90,1,84
101,1,84
159,1,84
183,1,84
42,1,77
55,1,77
84,1,77
137,1,77
148,1,77
176,1,77
179,1,70
211,1,70
21,1,64
15,1,62
77,1,62
103,1,62
178,1,62
47,1,42
94,1,20